CUMV ID,Species,oVert ID
R-0009886,Micrurus mipartitus,06175
R-0009532,Micrurus nigrocinctus,06176
R-0012367,Micrurus narducci; Leptomicrurus narducci,06177
R-0001928,Micrurus frontalis,06178
R-0012285,Demansia calodera,06179
R-0014296,Brachyurophis semifasciatus; Simoselaps semifasciatus,06180
R-0012301,Narophis bimaculatus; Simoselaps bimaculatus,06181
R-0011058,Bungarus multicinctus,06182
R-0011625,Limaformosa capensis; Gonionotophis capensis; Mehelya capensis,06183
R-0003926,Nerodia rhombifera,06184
R-0013300,Nerodia sipedon,06185
R-0005974,Nerodia taxispilota,06186
R-0002165,Nerodia cyclopion,06187
R-0002199,Nerodia erythrogaster,06188
R-0001061,Nerodia clarki,06189
R-0002488,Nerodia harteri,06190
R-0007308,Nerodia fasciata,06191
R-0002291,Tropidoclonion lineatum,06192
R-0011566,Clonophis kirtlandii,06193
R-0008858,Seminatrix pygaea; Liodytes pygaea,06194
R-0002232,Liodytes rigida; Regina rigida,06195
R-0011683,Liodyes alleni; Regina alleni,06196
R-0003946,Regina grahamii,06197
R-0011686,Regina septemvittata,06198
R-0011774,Virginia valeriae,06199
R-0007363,Virigina striatula; Haldea striatula,06200
R-0001869,Storeria dekayi,06201
R-0004385,Storeria occipitomaculata,06202
R-0003768,Thamnophis ordinoides,06203
R-0002079,Thamnophis hammondii,06204
R-0012551,Thamnophis scalaris,06205
R-0012415,Thamnophis couchii,06206
R-0012376,Thamnophis brahcystoma,06207
R-0012510,Thamnophis butleri,06208
R-0013095,Thamnophis sirtalis,06209
R-0012504,Thamnophis elegans,06210
R-0012439,Thamnophis melanogaster,06211
R-0012433,Thamnophis atratus,06212
R-0002086,Thamnophis rufipunctatus,06213
